,Date,Value,Ticker
0,,,TTEC
1,2021-12-31,191.03,TTEC
2,2021-09-30,134.33,TTEC
3,2021-06-30,109.28,TTEC
4,2021-03-31,58.25,TTEC
5,2020-12-31,212.17,TTEC
6,2020-09-30,138.97,TTEC
7,2020-06-30,73.38,TTEC
8,2020-03-31,45.37,TTEC
9,2019-12-31,177.60,TTEC
10,2019-09-30,140.31,TTEC
11,2019-06-30,93.17,TTEC
12,2019-03-31,66.78,TTEC
13,2018-12-31,124.93,TTEC
14,2018-09-30,134.29,TTEC
15,2018-06-30,87.83,TTEC
16,2018-03-31,59.88,TTEC
17,2017-12-31,61.23,TTEC
18,2017-09-30,105.74,TTEC
19,2017-06-30,95.89,TTEC
20,2017-03-31,62.91,TTEC
21,2016-12-31,61.11,TTEC
22,2016-09-30,72.07,TTEC
23,2016-06-30,27.37,TTEC
24,2016-03-31,-2.16,TTEC
25,2015-12-31,71.61,TTEC
26,2015-09-30,67.10,TTEC
27,2015-06-30,56.12,TTEC
28,2015-03-31,-9.22,TTEC
29,2014-12-31,26.58,TTEC
30,2014-09-30,9.81,TTEC
31,2014-06-30,-2.72,TTEC
32,2014-03-31,-1.42,TTEC
33,2013-12-31,87.62,TTEC
34,2013-09-30,44.78,TTEC
35,2013-06-30,26.55,TTEC
36,2013-03-31,2.39,TTEC
37,2012-12-31,66.83,TTEC
38,2012-09-30,30.71,TTEC
39,2012-06-30,31.51,TTEC
40,2012-03-31,8.29,TTEC
41,2011-12-31,77.52,TTEC
42,2011-09-30,20.53,TTEC
43,2011-06-30,37.95,TTEC
44,2011-03-31,20.74,TTEC
45,2010-12-31,107.66,TTEC
46,2010-09-30,102.57,TTEC
47,2010-06-30,62.32,TTEC
48,2010-03-31,44.82,TTEC
49,2009-12-31,135.70,TTEC
50,2009-09-30,133.59,TTEC
51,2009-06-30,79.54,TTEC
52,2009-03-31,45.56,TTEC
53,,,CSV
54,2021-12-31,67.24,CSV
55,2021-09-30,54.45,CSV
56,2021-06-30,32.69,CSV
57,2021-03-31,22.11,CSV
58,2020-12-31,76.26,CSV
59,2020-09-30,57.79,CSV
60,2020-06-30,25.22,CSV
61,2020-03-31,10.81,CSV
62,2019-12-31,28.80,CSV
63,2019-09-30,24.58,CSV
64,2019-06-30,13.36,CSV
65,2019-03-31,7.55,CSV
66,2018-12-31,35.47,CSV
67,2018-09-30,29.68,CSV
68,2018-06-30,21.20,CSV
69,2018-03-31,12.82,CSV
70,2017-12-31,28.84,CSV
71,2017-09-30,17.38,CSV
72,2017-06-30,11.46,CSV
73,2017-03-31,4.43,CSV
74,2016-12-31,31.32,CSV
75,2016-09-30,17.50,CSV
76,2016-06-30,11.45,CSV
77,2016-03-31,7.19,CSV
78,2015-12-31,15.66,CSV
79,2015-09-30,14.15,CSV
80,2015-06-30,6.97,CSV
81,2015-03-31,6.22,CSV
82,2014-12-31,12.89,CSV
83,2014-09-30,9.49,CSV
84,2014-06-30,3.63,CSV
85,2014-03-31,-6.67,CSV
86,2013-12-31,29.15,CSV
87,2013-09-30,23.79,CSV
88,2013-06-30,18.35,CSV
89,2013-03-31,7.31,CSV
90,2012-12-31,15.33,CSV
91,2012-09-30,7.44,CSV
92,2012-06-30,7.72,CSV
93,2012-03-31,0.43,CSV
94,2011-12-31,20.51,CSV
95,2011-09-30,17.53,CSV
96,2011-06-30,11.15,CSV
97,2011-03-31,1.68,CSV
98,2010-12-31,15.86,CSV
99,2010-09-30,10.06,CSV
100,2010-06-30,10.53,CSV
101,2010-03-31,1.02,CSV
102,2009-12-31,6.79,CSV
103,2009-09-30,1.92,CSV
104,2009-06-30,3.79,CSV
105,2009-03-31,-2.27,CSV
106,,,PPBI
107,2021-12-31,310.98,PPBI
108,2021-09-30,250.38,PPBI
109,2021-06-30,167.33,PPBI
110,2021-03-31,103.84,PPBI
111,2020-12-31,200.93,PPBI
112,2020-09-30,162.47,PPBI
113,2020-06-30,96.67,PPBI
114,2020-03-31,40.72,PPBI
115,2019-12-31,178.61,PPBI
116,2019-09-30,126.02,PPBI
117,2019-06-30,80.96,PPBI
118,2019-03-31,42.15,PPBI
119,2018-12-31,186.20,PPBI
120,2018-09-30,129.96,PPBI
121,2018-06-30,109.91,PPBI
122,2018-03-31,33.22,PPBI
123,2017-12-31,65.21,PPBI
124,2017-09-30,37.50,PPBI
125,2017-06-30,43.00,PPBI
126,2017-03-31,7.37,PPBI
127,2016-12-31,61.53,PPBI
128,2016-09-30,39.55,PPBI
129,2016-06-30,26.97,PPBI
130,2016-03-31,10.61,PPBI
131,2015-12-31,23.29,PPBI
132,2015-09-30,14.91,PPBI
133,2015-06-30,6.09,PPBI
134,2015-03-31,-0.17,PPBI
135,2014-12-31,11.74,PPBI
136,2014-09-30,9.78,PPBI
137,2014-06-30,2.35,PPBI
138,2014-03-31,-1.43,PPBI
139,2013-12-31,11.92,PPBI
140,2013-09-30,7.73,PPBI
141,2013-06-30,5.75,PPBI
142,2013-03-31,-0.62,PPBI
143,2012-12-31,7.64,PPBI
144,2012-09-30,-1.16,PPBI
145,2012-06-30,2.74,PPBI
146,2012-03-31,1.57,PPBI
147,2011-12-31,9.18,PPBI
148,2011-09-30,8.61,PPBI
149,2011-06-30,3.54,PPBI
150,2011-03-31,-1.39,PPBI
151,2010-12-31,8.90,PPBI
